ABREVIATIO|DEFINITION
11916D|11 9/16 Inch Diameter
15QT|1.5 Quart / 1.4 Liter
16V|16 Valve
1BC|1 Barrel Carburetor
1QT|1 Quart / .95 Liter
1-SPD|1-Speed
203EC|2-03 Engine Calibration
21BC|Two 1 Barrel Carburetors
24BC|Two 4 Barrel Carburetors
2BC|2 Barrel Carburetor
2-DR|2-Door
2-PIN|2-Pinion
2QT|2 Quart / 1.9 Liter
2TBI|Two Throttle Bodies
2WD|Two-Wheel Drive
2WD4AT|Two-Wheel Drive with 4-Speed Transmission
2WS|Two-Wheel Steering
3BC|3 Barrel Carburetor
3-DR|3-Door
3-SPD|3-Speed
4BC|4 Barrel Carburetor
4-DR|4-Door
4-PIN|4-Pinion
4-SPD|4-Speed
4V|4 Valve
4WAS|Four Wheel Active Steering
4WD|Four-Wheel Drive
4WS|Four-Wheel Steering
5-BOLT|5 Lug Bolts on Wheel Hub
5-DR|5-Door
5DRATAC|5-Door with Auto Trans without Air Conditioning
5MT|5-Speed Manual Transmission
5-SPD|5-Speed
5V|5 Valve
6-BOLT|6 Lug Bolts on Wheel Hub
6-SPD|6-Speed
8-BOLT|8 Lug Bolts on Wheel Hub
8V|8 Valve
975D|9 3/4" Diameter
AA|American Axle
ABBR|Abbreviation
ABO|Above
AC|Air Conditioning
ACCY|Accessory
ACE|Active Cornering Enhancement
ACTBC|Active Body Control
ACTDL|Active Driveline
ADBV|Anti-Drain Back Valve
ADJ|Adjustable
ADRD|Automatic Disconnecting Differential
AF|Air Filter
AFE|Air Filter Element
AFL|Air Filter
AFRI|Air Filter Restriction Indicator
AL|Aluminum
ALCS|Aluminum Case
ALHB|Auto-Locking Hubs
ALT|Alternator
ALUM|Aluminum
AMER|American
AMT|Automated Manual Transmission/Transaxle
AOCOOL|Air cooled oil cooler
AOT|Automatic Overdrive Transmission
ARC|Aluminum Rocker Arm Cover
ARH|All roof heights
AS/ARS|Active Steering and/or Active Roll System
ASERV|All service items as indicated by the service light
AT|Automatic Transmission
AT/TX|Auto Transmission/Transaxle
ATF|Automatic Transmission Fluid
ATT|at
ATTS|Active Torques Transfer System
ATXL|Automatic Transaxle
AUX|Auxiliary
AVC|Aluminum Valve Cover
AWD|All-Wheel Drive
BBL|Barrels
BCPN|Brake Caliper pins
BEG|Beginning
BEL|Below
BF|Before
BJ|Ball joints
BKC|Brake Calipers
BKS|Brake system
BLT|Belt tensioner
BREA|Breather Element
BRK|Brake
BSYS|Brake System
BW|Borg Warner
C&C|Cab & Chassis
CA|California
CAL|California
CAN|Canada
CARB|Carburetor
CAT|Catalytic
CB|Cool Box
CC|Cruise Control
CCNV|Catalytic Converter
CD|Code
CDI|Common Rail Direct Injection
CDIFF|Center Differential
CECS|Crankcase emission control system
CFBS|Clutch Fork Ball Stud
CH|Chassis
CHAS|Chassis
CHEV|Chevrolet
CHG|Change
CHKLABEL|Check underhood for refrigerant capacity decal
CHL|Choke & linkage
CHS|Choke system
CID|Cubic Inch Displacement
CK|Check
CKGAS|Cork gasket
CLCB|Club Cab
CLNT|Coolant
CLTCH|Clutch
CLU|Clutch
CNG|Compressed Natural Gas
CNT|Connector
COCL|Cold Climate
COMM|Command
CON|Conical
CONAFWD|Conical Air Filter with Dome
CONAFWOD|Conical Air Filter without Dome
COND|Conditioning
CONV|Convertible
CONVE|Conventional
COOL|Cooler
CPE|Coupe
CPI|Central Point Injection
CRB|Carburetor
CRCAB|Crew Cab
CRCASE|Crankcase
CRKAF|Crankcase Air Filter
CRR|Ceramic Rotor
CRT|Cathode ray tube
CSYS|Cooling System
CTRL|Control
CUT|Cutaway
CVJ|CV Joint
CVJS|CV joints & seals
CVT|Continuously Variable Transmission
CVVT|Continuous Variable Valve Timing
CYL|Cylinder
DATC|Dual Automatic Temperature Control
DCAB|Double Cab
DCL|Decal
DCT|Dual Clutch Transmission
DD|Digital Dash
DEF|Diesel Exhaust Fluid
DEFI|Digital Electronic Fuel Injection
DEX|Dual Exhaust
DFT|Dual Fuel Tanks
DIA|Diameter
DIC|Driver information center
DIFF|Differential
DIRIGN|Direct Ignition
DOHC|Dual Overhead Cam
DP|Deep Pan
DRLN|Driveline
DRW|Dual Rear Wheels
DSL|Diesel
DWUR|Distributor wick under rotor
EAPS|Electronic Assisted Power Steering
EB|European Built
ECGAS|Elastomeric gasket
ECT|Electronic Control Transmission
EFE|EFE system
EFI|Electronic Fuel Injection
EFP|External Fuel Pump
EGR|Exhaust Gas Recirculation
EHRS|Exhaust Heat Recovery System
ELAT|Electronic Automatic Trans
ELD|Electronic Locking Differential
EMTC|Electronic Manual Temperature Control
ENG|Engine
EOIL|Engine Oil
EPP|Extra Performance Package
ESOF|Electronic Shift On The Fly
ESSOORU|Except Severe Service or Off-Road Use
EST|Electronic Spark Timing
ETH|Ethanol
EV|Every
EVCT|Electronic Variable Control Transmission
EVIC|Electronic Vehicle Information Center
EX|Except
EXT|External
EXTCAB|Extended Cab
EXTD|Extended
EXX|Except
F4WD|Full-Time Four Wheel Drive
FAD|With front axle differential.
FDIF|Front Differential
FE2|FE2 Suspension Package
FED|Federal
FF|Fuel Filter
FFBH|Fuel Fired Burning Heater
FFT|Fuel Filter
FHUB|Front Hubs
FI|Fuel Injection
FICP|Fast idle cam & pivots
FINDR|Final Drive
FITT|Fittings
FLNG|Flange
FLSEN|Flow Sensor
FLSH|Flush
FLXF|Flexible Fuel
FLX-FL|Flex Fuel
FM|From
FMETER|Fuel Meter
FOH|Fuel Operated Heater
FPCOND|Flat Pipe Condenser
FR|Front
FRT|Front
FSP|Fuel Saver Package
FSS|Flexible Service System
FWB|Front Wheel Bearings
FWD|front-wheel drive
FWV|Foam Wrap Version
GL5|GL-5
GRS|Gear set.
GVWR|Gross Vehicle Weight Rating
HA|High Altitude
HBK|Hatchback
HC|Hot Climate
HCT|Hydraulic Control Transmission
HD|Heavy-Duty
HD4|HD4 Emission Package
HD5|HD5 Emission Package
