CODE|LN|PROCEDURE
01|1|Tighten spindle nut to 12 ft-lbs while rotating wheel. Back off nut and
01|2|hand tighten.
02|1|Tighten spindle nut to 15 ft-lbs while rotating wheel. Back off nut and
02|2|hand tighten.
03|1|Tighten spindle nut to 30 ft-lbs while rotating wheel. Back off nut and
03|2|hand tighten.
04|1|Tighten spindle nut firmly while rotating wheel. Back off slightly and secure
04|2|with cotter pin. When adjusted properly, washer underneath nut can just barely
04|3|be turned by a screwdriver.
05|1|Tighten spindle nut to 25 ft-lbs and back off 1/3 turn. Tighten to 6 inch-lbs
05|2|while rotating wheel.
06|1|Tighten spindle nut to 22 ft-lbs and back off 1/3 turn. Tighten to 6 inch-lbs
06|2|while rotating wheel.
07|1|Tighten spindle nut to 20-25 ft-lbs and back off 1/3 turn. Tighten 2-10 inch-lbs
07|2|while rotating wheel.
08|1|Tighten spindle nut to 20 ft-lbs and back off 1/3 turn. Tighten 12 inch-lbs
08|2|while rotating wheel.
09|1|Snug spindle nut while rotating wheel. Back off 1/4-1/2 turn and finger
09|2|tighten. Install cotter pin.
10|1|Snug spindle nut while rotating wheel. Back off 1/4 turn. Back off slightly,
10|2|if necessary, to install cotter pin.
11|1|Tighten spindle nut to 22-24 ft-lbs while rotating wheel. Back off and retighten
11|2|to 2 ft-lbs. Back off slightly and install cotter pin.
12|1|Tighten spindle nut to 20-25 ft-lbs while rotating wheel and back off 90°.
12|2|Finger tighten and install cotter pin.
13|1|Tighten spindle to 90 inch-lbs while rotating wheel. Install cotter pin.
14|1|Tighten spindle to 70 inch-lbs while rotating wheel. Install cotter pin.
15|1|Tighten spindle to 14 ft-lbs while rotating wheel. Back off and retorque to
15|2|4 ft-lbs. Install cotter pin.
16|1|Tighten spindle to 22 ft-lbs while rotating wheel. Back off and retorque to
16|2|4 ft-lbs. Install cotter pin.
17|1|Tighten spindle nut to 22 ft-lbs and install retainer and cotter pin.
18|1|Tighten spindle nut to 22 ft-lbs, back off and hand tighten. Install cotter pin.
19|1|Tighten spindle nut to 58-86 ft-lbs and stake nut.
20|1|Tighten spindle nut to 74 ft-lbs and stake nut.
21|1|Tighten and back off spindle nut two times while rotating wheel. Tighten and
21|2|then back off until .001-.002" of freeplay is measured ATT wheel.
22|1|Tighten spindle nut to 30-40 ft-lbs while rotating wheel. Back off and
22|2|finger tighten. Install lock ring and cotter pin.
23|1|Tighten spindle nut to 18-22 ft-lbs while rotating wheel. Back off and
23|2|retighten until 6-22 inch-lbs of drag on drum are measured.
24|1|Tighten spindle nut to 17-25 ft-lbs while rotating wheel. Back off 1/2 turn
24|2|and retighten to 10-15 inch-lbs.
25|1|Tighten spindle nut while rotating wheel. Back off and hand tighten. Back off
25|2|slightly to install cotter pin.
26|1|Tighten spindle to 18 ft-lbs while rotating wheel. Back off and retorque to
26|2|4 ft-lbs. Install cotter pin.
27|1|Tighten spindle to 23 ft-lbs while rotating wheel. Back off and retorque to
27|2|5 ft-lbs. Install cotter pin.
28|1|Tighten spindle to 22 ft-lbs while rotating wheel. Back off and hand tighten.
28|2|Continue to tighten until 2 ft-lbs of bearing preload is measured.
29|1|Tighten spindle nut to 21 ft-lbs while rotating wheel. Back off 1/2 turn and
29|2|tighten to 19 inch-lbs.
30|1|Tighten spindle nut to 17-25 ft-lbs while rotating wheel. Back off 1/2 turn
30|2|and retighten to 18-20 inch-lbs.
31|1|Tighten spindle nut to 16-17 ft-lbs. Back off and tighten again. Back off up to
31|2|40° to 70° and install cotter pin.
32|1|Tighten spindle nut to 22-25 ft-lbs. Back off and tighten again. Back off up to
32|2|90° and install cotter pin.
33|1|Tighten spindle nut to 25-29 ft-lbs. Back off and tighten again. Back off up to
33|2|45° and install cotter pin.
