CODE|LN|NOTE
001|1|Caliper pin bolt torque listed. Mounting bracket torque
001|2|is 56 ft-lbs.
002|1|Caliper pin bolt torque listed. Mounting bracket torque
002|2|is 74 ft-lbs.
003|1|Lock pin listed. Support bracket, 36-51 ft-lb.
004|1|Caliper to bracket. Bracket to knuckle, 65 ft-lb.
005|1|Caliper to bracket. Bracket to knuckle, 34 ft-lbs.
006|1|Caliper to bracket. Bracket to knuckle, 29-54 ft-lbs.
007|1|Key screws listed. Caliper mounting bolts, 155-185 ft-lbs.
008|1|Guide pins.  Caliper mounting bolts, 50 ft-lbs.
009|1|Above rivet head.
010|1|Replace when lining is the same thickness as the backing
010|2|plate.
012|1|Runout is measured with rotor on vehicle.
013|1|are for vented rotors only.
014|1|May use electric wear sensor that lights an instrument
014|2|panel indicator.
015|1|Replace pads when lining is the same thickness as the
015|2|backing plate.
016|1|Special tool required to check front pads.
017|1|Above rivet head or backing plate.
018|1|Replace shoes when lining is the same thickness as the
018|2|backing plate.
019|1|Measured above rivet head.
020|1|Includes backing plate.
021|1|With bonded linings, the minimum amount of friction
021|2|above the backing plate is .060".
022|1|With riveted linings, .097".
023|1|With aluminum wheels, 100 ft-lbs.
024|1|With aluminum wheels, 65-80 ft-lbs.
025|1|With aluminum wheels, 58-73 ft-lbs.
026|1|With aluminum wheels, 90 ft-lbs.
027|1|With cone type nut & 9/16-18 threads, 120-150 ft-lbs. With
027|2|flanged nut, 130-160 ft-lbs.
028|1|With cone type 5/8" nut, 175-225. With flanged nut, 300-350.
029|1|With cone type nut & 5/8-18 threads, 200 ft-lbs. With
029|2|flanged type nut, 325 ft-lbs. With flanged nut and DRW,
029|3|300-350 ft-lbs.
030|1|5-lug 1/2", 100. 5-lug 9/16", 120. 6-lug, steel whl., 90.
030|2|6-lug, alum. whl., 100. 8-lug SRW, 120. 8-lug DRW, 140.
031|1|With DRW: 8-lug, 140; 10-lug, 175.
032|1|With aluminum wheels, 90.
033|1|With optional wheels, 100.
034|1|With aluminum wheels, 87.
035|1|With aluminum wheels, 65-72.
036|1|4-lug wheels, 55-85.
037|1|With aluminum wheels, 87-105.
038|1|With styled wheels, 87-101.
039|1|With aluminum wheels, 69-80.
040|1|With aluminum wheels, 57-72.
041|1|With 7/16" wheel studs, 80.
042|1|Discard when the diameter is greater than the
042|2|maximum machining specification.
043|1|With aluminum wheels, 93.
044|1|Discard when the thickness is smaller than the minimum
044|2|machining specification.
045|1|When using semi-metallic pads, finish must be 10-50.
046|1|Measured off vehicle. When measured on vehicle, .008.
047|1|Do not machine rotors.
048|1|Measured off vehicle. When measured on vehicle, .005.
049|1|Measured off vehicle.
050|1|With aluminum wheels, .0003.
051|1|Discard if runout exceeds .012.
052|1|When rotor is serviced on vehicle, .002.
053|1|Specification only applies when rotor is serviced on vehicle
054|1|FWD models with ABS, .0039.
055|1|When rotor is serviced on vehicle, .004.
056|1|Measured on vehicle. When measured off vehicle, .003.
057|1|With one piece hub and rotor, .0007.
058|1|With one piece hub and rotor, .003.
059|1|When measured on vehicle, .0016.
060|1|When measured on vehicle, .0032.
061|1|With aluminum wheels, 105.
062|1|Lucas. External head bolt. With socket head bolt, 44.
063|1|New rotors must be ATT .0004.
064|1|When measured on the vehicle, .002
065|1|Minimum machining value is also the minimum ATT which new
065|2|pads may be installed.
066|1|Wheel measured on vehicle .002
068|1|Dual wheels, 175
069|1|Only with steel rear caliper  mount holes not aluminum.
070|1|2001-2000 12 mm 100 ft-lbs, 14 mm 150 ft-lbs.
071|1|If fitted with ribbed bolt; 70 ft-lbs., when fitted with
071|2|Socket-head cap screw, 44 ft-lbs.
072|1|Minimum disc thickness stamped on disc
073|1|Alloy wheel, 74-100 ft-lbs. Steel wheel, 66-87 ft-lbs.
074|1|12mm, 100 ft-lbs. 14mm, 150 ft-lbs.
075|1|Models with single wheel, 140 ft-lbs. Models with dual
075|2|wheels, 175  ft-lbs.
076|1|Loaded Vehicle, 165 ft-lbs.
077|1|Ford rear axle, 150 ft-lbs. Dana rear axle, 100 ft-lbs.
