RecNo|Submod|Appl|FTorq|RTorq|Note
1||CB|54|18|
2||BK|80|28|
5||BK|54|28|
6||CB|33|17|
22||BK|90|50|
27||CB|24|16|
28||CB|18-22|18-22|
32||BK|81|49|
69||CB|20|20|
76||BK|137|94|
78||CB|23|17|
97||CB|58-69|44-48|
100||BK|NS|NS|
130||BK|30||
143|Type R|CB|36||
145||CB|22-26|22-26|178
146||CB||17|
148||BK|81|49|178
149||BK||80|
152|Type R|BK|80||
156|Others|BK|80||
157||BK|38||
160|Others|CB|24||
166||BK|21-35||
244||BK|28||
261||BK|81|48|
262||CB|24|17|
264|HD Brakes|BK|38||
266||BK|56|28|
268||BK|70|50|
269|LD Brakes|BK|38||
272||CB|18-22|58-69|
273|Wagon|BK|38||
289||CB|35||
292||BK|35||
302|RWD Fleetwood|BK|38||
309|Delco|BK|35||
318||BK|70||
320||BK|70|70|
321||CB|28||
329|Bendix|BK|12-18||
338|Delco|BK|38||
340||BK|38|38|
369|FWD|BK|38|38|
382||BK|130-190||
391||CB|36|17|
393|FWD|BK|38|81|
397|FWD|CB||38|
399||CB|25-35|17|
417|Sedan|CB|36|17|
421|Sedan|BK|80|28|
443|Coupe|BK|80|28|
445|RWD|BK|38|81|
448|Coupe|CB|36|17|
450|RWD|CB||38|
489|RWD|CB|38||
495||CB|17||
499||BK|81|50|
509||BK|110||
535||CB|21-35||
537||BK|30|30|
538||BK|16|16|
560||CB|25-35||
581||BK|21-35|30-45|
597||BK|28|38|
608||CB|38||
611|FWD W/O TURBO|CB|16-23||
613||CB|15||
617||BK|95-125||
631|FWD W/ TURBO|CB|16-23||
643||CB||38|
663||BK|83|83|
668||BK|58-72||
670||CB|63|63|
844|W/ Aluminum Caliper|BK|85|49|
850|W/O Aluminum Caliper|BK|81|49|
887||CB|36|36|
893|Others|CB|18-26||
894||BK|80|80|
895|Front Housing Bolts|CB|130|130|
903|Rear Bolts|CB|60|60|
904|ATE, Kelsey-Hayes|CB|25-35||
1015|ATE, Kelsey-Hayes|CB|25-35|21|
1019||BK|80|26|
1021||BK|130-190|18|
1023|W/O Aluminum Caliper|BK|81|48|
1026|Others|CB|18-26|21|
1033|W/ Aluminum Caliper|BK|81|48|
1040||BK|115|76|
1048||CB|54|32|
1100|ATE, Kelsey-Hayes|CB|25-35|18|
1101|W/ Aluminum Caliper|BK|91|48|
