RecNo|Submod|Type|NomDia|Runout|MaxMach|Discard|NotD
1||P|6.6932|NS|NS|6.732|
4|Sedan|P|6.6932|NS|NS|6.732|
7|Coupe|P|6.6902|NS|NS|6.730|
19||R|11.00|.006|11.060|11.090|
26||R|9.50|.006|9.560|9.590|
33||P|6.689|NS|NS|6.732|
37||P|8.270|NS|NS|8.320|
44||R|12.00|.006|12.060|12.090|
56|W/ 11" drum|R|11.00|.006|11.060|11.090|
139|||13.00|.006|13.060|13.090|
147|||11.00|.006|11.060|11.090|
208|||11.15|.006|11.210|11.240|
210|W/ 10" Drum|R|10.00|.006|10.050|10.090|
220||R|8.863|.006|8.920|8.950|
222|W/ 11 1/32" drum|R|11.15|.006|11.210|11.240|
229|W/ 13" drum|R|13.00|.006|13.060|13.090|
243|W/ 10" drum|R|10.00|.006|10.051|10.091|
301|W/ 10" drum|R|10.000|.006|10.050|10.090|
308|Sedan|R|8.863|.006|8.920|8.950|
312|W/ 11 1/32" drum|R|11.150|.006|11.210|11.240|
313|Coupe|R|8.863|.006|8.920|8.950|
318|Wagon|R|8.863|.006|8.880|8.909|
324|||9.00|.007|9.060||042
330|||10.00|.007|10.060||042
351||R|10.00|.007|10.060||042
357||R|9.00|.007|9.060||042
540||R|11.15|.006|11.210|11.240|
553||R|13.00|.006|13.060|13.090|
581|Coupe W/ LD Brakes|R|8.863|.006|8.920|8.950|
594|Sedan W/ LD Brakes|R|8.863|.006|8.920|8.950|
601|HD Brakes|R|8.863|.006|8.880|8.909|
670||R|10.00|.006|10.051|10.091|
688|LD Brakes|R|8.863|.006|8.920|8.950|
721||R|11.000|.006|11.060|11.090|
728|||9.50|.006|9.560|9.590|
770|||7.880|.006|7.899|7.929|
817||R|8.863|.006|8.909|8.920|
876||R|7.880|.006|7.899|7.929|
978|W/O 13" drum|R|11.15|.006|11.210|11.240|
988|W/ 13" Drum|R|13.000|.006|13.060|13.090|
1137|W/ 9.5" drum|R|9.50|.006|9.560|9.590|
1300|||10.00|.006|10.051|10.091|
1434|LD|R|11.15|.006|11.210|11.240|
1442|HD|R|13.00|.006|13.060|13.090|
1495|W/ 11" drum||11.00|.006|11.060|11.090|
2459|W/ Performance PKG.|R|7.880|.006|7.899|7.929|
2465|W/O Performance PKG.|R|7.880|.006|7.899|7.929|
2655||R|7.874|.006|7.906|7.929|
2761||R|7.874|.006|7.899|7.929|
3240|Comm. Chassis|R|12.00|.006|12.060|12.090|
3246|Sedan|R|11.00|.006|11.060|11.090|
3252|Coupe|R|11.00|.006|11.060|11.090|
3361|W/ 10" drum|R|10.000|.006|10.051|10.091|
3483||R|8.863|.006|8.880|8.909|
3686|W/ 10" drum|R|10.00|.007|10.060||042
3692|W/ 9" drum|R|9.00|.007|9.060||042
3700|FWD|R|8.863|.006|8.880|8.909|
3713|RWD Fleetwood|R|11.00|.006|11.060|11.090|
