ApplicationID|RecNo|BaseVehicleID|RegionID|VehicleToEngineConfigID
1|40557|1|1|42925
1395|40557|1|1|42926
3004|40557|1|1|42927
1395|40557|1|2|301676
1|40557|1|2|301677
3004|40557|1|2|301678
1|40557|2|1|42928
1395|40557|2|1|42929
3004|40557|2|1|42930
3004|40557|2|2|301679
1395|40557|2|2|301680
1|40557|2|2|301681
3506|33186|3|1|9057
4154|33186|3|1|9058
4515|33186|3|1|9059
3506|33186|3|2|172309
4154|33186|3|2|172310
4515|33186|3|2|172311
3506|33186|4|1|9060
4154|33186|4|1|9061
4515|33186|4|1|9062
3506|33186|4|2|172312
4154|33186|4|2|172313
4515|33186|4|2|172314
3506|33186|5|1|9063
4154|33186|5|1|9064
4515|33186|5|1|9065
3506|33186|5|2|172315
4154|33186|5|2|172316
4515|33186|5|2|172317
3506|33186|6|1|9066
4154|33186|6|1|9067
4515|33186|6|1|9068
3506|33186|6|2|301691
4154|33186|6|2|301692
3519|33186|7|1|9069
3525|33186|7|1|9070
4155|33186|7|1|9071
4157|33186|7|1|9072
4516|33186|7|1|9073
4517|33186|7|1|9074
3519|33186|7|2|301693
3525|33186|7|2|301694
4155|33186|7|2|301695
4157|33186|7|2|301696
3519|33186|8|1|9075
3525|33186|8|1|9076
4155|33186|8|1|9077
4157|33186|8|1|9078
4516|33186|8|1|9079
4517|33186|8|1|9080
4155|33186|8|2|301697
4157|33186|8|2|301698
3519|33186|8|2|301699
3525|33186|8|2|301700
3525|33186|9|1|9081
4157|33186|9|1|9082
4515|33186|9|1|9083
4155|33186|9|2|198778
3519|33186|9|2|198779
3506|33186|10|1|9085
4154|33186|10|1|9087
4515|33186|10|1|9089
3506|33186|10|2|301701
4154|33186|10|2|301702
4829|39958|11|1|9090
5022|39958|11|1|9091
5163|39958|11|1|9092
143|39958|11|1|9093
4829|39958|11|2|301706
5163|39958|11|2|301707
259|39958|12|1|9094
409|39958|12|1|9095
5163|39958|12|1|9096
143|39958|12|1|9097
594|39958|12|1|9098
594|39958|12|2|301708
5163|39958|12|2|301709
259|39958|12|2|301710
259|39958|13|1|9099
409|39958|13|1|9100
881|39958|13|1|9101
5163|39958|13|1|9102
143|39958|13|1|9103
1200|39958|13|1|9104
594|39958|13|1|9105
5163|39958|13|2|301711
594|39958|13|2|301713
259|39958|13|2|301715
259|39958|14|1|9110
5163|39958|14|1|9111
594|39958|14|1|9112
5163|39958|14|2|301716
259|39958|14|2|301717
594|39958|14|2|301718
1446|39958|15|1|43036
1446|39958|15|2|301719
2158|33210|16|1|9113
2291|33210|16|1|9114
113886|33210|16|1|9115
2158|33210|16|2|172318
2291|33210|16|2|172319
113886|33210|16|2|172320
2158|33210|17|1|9116
2291|33210|17|1|9117
113886|33210|17|1|9118
2158|33210|17|2|172321
2291|33210|17|2|172322
113886|33210|17|2|172323
2158|33210|18|1|9119
2291|33210|18|1|9120
2158|33210|18|2|172324
2291|33210|18|2|172325
1446|33210|19|1|9121
1446|33210|19|2|172326
2428|33210|20|1|9122
2428|33210|20|2|172327
2158|33210|21|1|9123
2428|33210|21|1|9124
4829|33210|21|1|9125
2158|33210|21|2|172328
2428|33210|21|2|172329
4829|33210|21|2|172330
2158|33210|22|1|9126
2428|33210|22|1|206897
2158|33210|22|2|172331
2428|33210|22|2|206899
2158|33210|23|1|9127
2428|33210|23|1|206898
2158|33210|23|2|172244
2428|33210|23|2|206900
2428|33210|24|1|9128
2428|33210|24|2|172245
2428|33210|25|1|9129
2428|33210|25|2|172246
19928|33262|26|1|9130
20480|33258|26|1|9130
20284|33258|26|1|9133
20519|33262|26|1|9133
34810|33258|26|1|9135
34965|33262|26|1|9135
19928|33262|26|2|172247
20480|33258|26|2|172247
20284|33258|26|2|172250
20519|33262|26|2|172250
34810|33258|26|2|172252
34965|33262|26|2|172252
34810|33258|27|1|9136
34965|33262|27|1|9136
33830|33258|27|1|9137
34638|33262|27|1|9137
20284|33258|27|1|9138
20519|33262|27|1|9138
34810|33258|27|2|172253
34965|33262|27|2|172253
33830|33258|27|2|172254
34638|33262|27|2|172254
20284|33258|27|2|172255
20519|33262|27|2|172255
6088|33262|27|2|183992
6162|33258|27|2|183992
20204|33262|28|1|9139
59811|33258|28|1|9139
33830|33258|28|1|9141
34638|33262|28|1|9141
20284|33258|28|1|9142
20519|33262|28|1|9142
34810|33258|28|1|185977
34965|33262|28|1|185977
20204|33262|28|2|172256
59811|33258|28|2|172256
33830|33258|28|2|172258
34638|33262|28|2|172258
20284|33258|28|2|172259
20519|33262|28|2|172259
34810|33258|28|2|185976
34965|33262|28|2|185976
34810|33258|29|1|9144
34965|33262|29|1|9144
33830|33258|29|1|9145
34638|33262|29|1|9145
19703|33262|29|1|9147
19980|33258|29|1|9147
19981|33262|29|1|187773
20523|33258|29|1|187773
34810|33258|29|2|172261
34965|33262|29|2|172261
33830|33258|29|2|172262
34638|33262|29|2|172262
19703|33262|29|2|172264
19980|33258|29|2|172264
19981|33262|29|2|187774
20523|33258|29|2|187774
34810|33258|30|1|9148
34965|33262|30|1|9148
19703|33262|30|1|9152
19980|33258|30|1|9152
19981|33262|30|1|187775
20523|33258|30|1|187775
33541|33262|30|1|187780
33751|33258|30|1|187780
33542|33262|30|1|187785
33752|33258|30|1|187785
34810|33258|30|2|172265
34965|33262|30|2|172265
19703|33262|30|2|172269
19980|33258|30|2|172269
6088|33262|30|2|183990
6162|33258|30|2|183990
19981|33262|30|2|187776
20523|33258|30|2|187776
33541|33262|30|2|187781
33751|33258|30|2|187781
33542|33262|30|2|187786
33752|33258|30|2|187786
34810|33258|31|1|9153
34965|33262|31|1|9153
19703|33262|31|1|9157
19980|33258|31|1|9157
19981|33262|31|1|187777
20523|33258|31|1|187777
33541|33262|31|1|187782
33751|33258|31|1|187782
33542|33262|31|1|187787
33752|33258|31|1|187787
34810|33258|31|2|172270
34965|33262|31|2|172270
19703|33262|31|2|172274
19980|33258|31|2|172274
19981|33262|31|2|187778
20523|33258|31|2|187778
33541|33262|31|2|187783
33751|33258|31|2|187783
33542|33262|31|2|187788
33752|33258|31|2|187788
34810|33258|32|1|9158
34965|33262|32|1|9158
20284|33258|32|1|9161
20519|33262|32|1|9161
33541|33262|32|1|187784
33751|33258|32|1|187784
33542|33262|32|1|187789
33752|33258|32|1|187789
34810|33258|32|2|172275
34965|33262|32|2|172275
20284|33258|32|2|172278
20519|33262|32|2|172278
33541|33262|32|2|187779
33751|33258|32|2|187779
33542|33262|32|2|187790
33752|33258|32|2|187790
33830|33258|33|1|9162
34638|33262|33|1|9162
20284|33258|33|1|9163
20519|33262|33|1|9163
