RecNo|Submod|Loc|MinPad|MinShoe|NotP|NotS
1|WRX STI|F|.047|||
2|WRX|R|.059|||
3|WRX STI|R|.047|||
5|WRX|F|.059|||
6|2.5I|F|.059|||
8|2.5I|R|.059|||
15||R|.059|||
16||F|.059|||
21|W/ Bonded linings|P||.063||
26|W/ Riveted linings|P||.031||
27|||.039|.039||
28||R|.040|||
29||R|.275||020|
30||F|.079|||
31|w/ 1LT, 1LY|F|.417||020|
32||R|.079|||
33|w/1LA, 1LB, 1LD, 1LJ|F|.377||020|
38|||.079|||
42||R|.276||020|
46|w/1LT,1LY|F|.417||020|
49||R|.276|.098|020|
51||F|.276||020|
53|W/ RPO J56|R|.080|||
54||F|.118|||
55|W/ RPO J55|F|.080|||
58|||.079||133|
59|W/ RPO JE5|R|.080|||
61|W/ RPO J56|F|.080|||
69|W/ RPO JE5|F|.080|||
70||F|.040|||
74||F|.079||133|
77|W/ RPO J55|R|.080|||
78||R|.079||133|
88||R|.040|NS||
108||P|.040|||
132||R|.039|||
145|||.060|.030||017
158||P||.031||
179|||.079|.079||
195||P||.020||
213|||.059|||
233|||.040|.040|017|017
242|W/ Floating Caliper|R|.079||293|
262|W/ Z07|R|.070||305|
268|W/ 8 Piston Caliper|F|.070||431|
273|W/O 8 Piston Caliper|F|.079||432|
274||R|.030|.030|017|017
277||F|.063|||
279||F|.030|||
282||R|.063|||
283|W/ Z07|F|.070||305|
287||P||.039||
288|W/O Floating Caliper|R|.098||294|
292|W/O Ceramic|R|.079|||
300|W/ Ceramic|R|.118|||
311|||.063|.079||
316|||.276||020|
321||R|.079|.039||
335||F|.030||017|
352||R|.118|||
353|||.030|.030|017|017
375||R|.030|||
383|Hybrid|R|.063|||
386||P||.059||
395||R|.063|.079||
397||R|.039|.039||
401|Hybrid|F|.063|||
403||F|.039|||
424||R|.118||133|
430||F|.118||133|
432||R|.030||017|
436||R|.276|NS|020|
441||F|.313||020|
456|||.040|.060||446
462|||.040|.030||445
477|||.177|||
538||R|.080||017|
544||F|.080||017|
550|||.079|.059||
589||R||.039||
609||R||.055||
631||R|NS|||
632|W/O Ceramic Rotors|F|.030|||
637||F|NS|||
638|W/ Ceramic Rotors|F|.079|||
643||F|.078|||
645|W/ Ceramic Rotors|R|.079|||
648||R|.078|.039||
705||R|394||020|
711||F|394||020|
728|||.079|.039||
739|||.080|.040||
750||R|.078|||
763||R|.310|.030|020|
772||F|.310||020|
841||F|.055|||
864|W/ 17" Wheels|R|.047|||
865|||.030|||
870|W/ 15" Wheel|F|.059|||
877|W/ 16" Wheel|F|.059|||
883|W/ 17" Wheels|F|.047|||
907||R|.314||020|
913||F|.354||020|
921||R|.315||020|
925|W/ RPO L99, LS3||.030|||
933|W/ RPO LLT||.030|||
948||R||.030||
954|w/1LT, 1LY|F|.417||020|
956|W/O Ceramic Rotors|R|.030|||
970||R|.079||020|
976||F|.079||020|
1001||F|.354|||
1005||F|.275||020|
1008||R|.314|||
1012|||.145||733|
1031||P||.040||
1044||F|.197|||
1049||R|.197|||
1055|||.080|.060||
1161|||.145|||
1186||P||.216||
1214|Dual Piston Caliper|F|.118|||
1220|W/ 6 Piston Caliper|F|.301|||
1226|W/ 4 Piston Caliper|F|.071|||
1305||R|.039|.020||
1320|W/ 11.57"||.145||733|
1325|||.310|.030|020|
1330|W/ 12.08"||.145||733|
1354|||.250|.098|020|
1356||R|.280|.030|020|
1374||R||NS||
1395|||.040|||
1410|||.295|.120||
1446||F|.008||017|
1452||R|.008||017|
1533|||.055|.030||
1636|||.080|||
1661|W/ Ceramic Rotors|F|.347||289|
1667|W/O Ceramic Rotors|F|.157|||
1672|W/ Ceramic Rotors|R|.354||289|
1678|W/O Ceramic Rotors|R|.118|||
1683|||.039|||
1706||F|.280|||
1712||F|.430|||
1717||R|.080|||
1726||F|.039||017|
1731||R||.020||017
1756|||.078|||
1764||F|.078||017|
1770||R|.078|.063|017|
1794||P||.078||
1808||F|.120|||
1828|||.118|.059||
1881||P|.063|||
1891||F|.350|||
1898||R||.180||
1906|||.063|.039||
2040|||.118|||
2188|W/O HSV PKG|F|.030|||
2194|PPV|F|.118|||
2203|W/ HSV PKG|R|.030|||
2210|W/O HSV PKG|R|.030|||
2215|PPV|R|.118|||
2220|W/ HSV PKG|F|.030|||
2470|||.145|.059||
2476|||.125|||
2496|W/ Disc Brakes|R|.040|||
2499||R|.070||133|
2502||R||.154||
2504||F|.047||133|
2530||F|.303||020|
2647||F|.080|||
2654||R|.039|.040||
2707|||.118|.039||
2743|||.059|.039||
2748||F|.295||020|
2753||R|.256|.059|020|
2764|||.030|.030|019|019
2799|||.118|.079|020|
2849|||.118||133|
2851|W/ RPO J55|F|.030|||
2857|W/ RPO JL9|R|.030|||
2862|W/ RPO J55|R|.030|||
