RecNo|Submod|Pos|MaxPar|NotP|Runout|NotR|NomT|NotT|MinMach|NotM|Discard|NotD|Finish|NotF
1||F|.0006||.004||.900||NS||.830||NS|
2||R|.0006||.004||.390||NS||.310||NS|
3||R|.0006||.004||.395||NS||.315||NS|
4||F|.0006||.004||.985||NS||.906||NS|
5||F|.0006||.004||.750||.670|||044|NS|
6||R|.0006||.006||.390||.310|||044|NS|
25||R|.0006||.004||.354||NS||.315||NS|
26||F|.0006||.004||.826||NS||.748||NS|
49||F|.0006||.0004||.822||NS||.748||NS|
50||R|.0006||.0004||.350||NS||.315||NS|
71|Type R|F|.0006||.004||.905||.830|||044|NS|
72||R|.0006||.004||.350||.310|||044|NS|
73|Others|F|.0006||.004||.825||.750|||044|NS|
86||F|.0006||.004||.830||.750|||044|NS|
105||R|.0006||.006||.393||.315|||044|NS|
116||F|.0006||.004||1.102||NS||1.024||NS|
117||R|.0006||.004||.354||NS||.295||NS|
122|Sedan|R|.0006||.004||.354||NS||.295||NS|
123|Sedan|F|.0006||.004||1.102||NS||1.024||NS|
130|Coupe|F|.0006||.004||1.102||NS||1.024||NS|
131|Coupe|R|.0006||.004||.354||NS||.295||NS|
168||F|.0006||.004||1.102||1.024|||044|NS|
169||R|.0006||.004||.826||.748|||044|NS|
184||R|.0006||.004||.905||.826|||044|NS|
192||F|.0006||.004||.906||NS||.826||NS|
196||F|.0004||.005||1.02||.983||.969||NS|
197||R|.0004||.005||.710||.668||.654||NS|
198||R|.0006||.004||.350||.300|||044|NS|
199||F|.0006||.004||.900||.830|||044|NS|
202||F|.0006||.004||.900||NS||.826||NS|
203||R|.0006||.004||.350||NS||.295||NS|
208||F|.0006||.004||.910||.830|||044|NS|
209||R|.0006||.004||.390||.310|||044|NS|
268|||.0005||.003||.875||.810|||044|15-80|
306|||.0005||.004||.875||.810|||044|15-80|
624|||.0005||.003||NS||.815|||044|15-80|
630||R|NS||NS||.394||NS||.315||NS|
631|Girling|F|NS||NS||.866||NS||.787||NS|
632|Teves|F|NS||NS||.866||NS||.787||NS|
642||R|NS||NS||.394||NS||.354||NS|
643|Vented Rotor|F|NS||NS||.980||NS||.910||NS|
644|Solid Rotor|F|NS||NS||.591||NS||.512||NS|
654||F|NS||NS||.984||NS||.906||NS|
711|Double Piston|F|NS||NS||.984||NS||.905||NS|
731|Sedan|F|.0008||.002||.472||.413||.394||NS|
734|Coupe|F|.0003||.001||.787||NS||.726||NS|
