RecNo|Submod|Torq|FBrng|RBrng|NotT
1||80|||
24|W/ 7/16" studs|80|||
29|W/ Alum 7/16" Stud|90|||
32|W/1/2" studs|105|||
39|W/ Alum 1/2" Stud|105|||
42||100|||
74||90-120|01||
115||103|||
171||87|||
187||100|01||
188|5-lug 1/2"|100|01||
193|6-lug, steel wheel|90|01||
196|8-lug DRW|140|01||
200|6-lug, alloy wheel|100|01||
205|5-lug 9/16"|120|01||
209|8-lug SRW|120|01||
261|W/ Aluminum Wheels|100|01||
267|W/ Steel Wheels|80|01||
275|6-lug, alloy wheel|100|||
288|6-lug, steel wheel|90|||
290||140|01||
294|8-lug DRW|140|||
299|5-lug 9/16"|120|||
312|8-lug SRW|120|||
322|5-lug 1/2"|100|||
401||75|05||
412||75-100|01||
417||120|01||
432||105|||
468|DRW 10 Lug|175|||
474|DRW 8 Lug|140|||
480|Single Rear Wheels|120|||
524||120|||
590||75|||
670||140|||
808|RWD W/ STD Wheels|80|01||
815|4WD W/ OPT Wheels|100|||
822|4WD W/ STD Wheels|80|||
830|RWD W/ OPT Wheels|100|01||
932|Dual Rear Wheels|110-140|01||
938|Single Rear Wheels|90-120|01||
952|Single Rear Wheels|140|||
1037|4WD W/ AL Wheels|90|||
1043|4WD W/ Steel Wheels|70|||
1049|RWD W/ AL Wheels|90|01||
1057|RWD W/ Steel Wheels|70|01||
1186||85-125|22||
1277||65|18||
1336|4WD|95|||
1342|RWD|95|01||
1385||70|01||
1525|W/ Aluminum Wheels|90|01||
1907||80|01||
2012||45||20|
2178||65||17|
2198||85-115|22||028
2205||45||19|
2214||100|09||
2243|Dual Rear Wheels|140|01||
2250|Single Rear Wheels|120|01||
2273|RWD|120|01||
2278|4WD|120|||
2404|W/ Aluminum Wheels|100|||
2409|W/ Steel Wheels|80|||
2453||75|01||
2672|W/O Performance PKG.|100|||
2678|W/ Performance PKG.|100|||
3220|W/ 4000# Rear Axle|175-225|22||
3226|W/O 4000# Rear Axle|85-125|22||
3354|Limousine|100|||
3356||76|||
3363|Commercial Chassis|100|||
3375|W/ Aluminum Wheels|65-80|15||
3381|W/ Steel Wheels|50-57|15||
3405||130|||
3448||85|12||
3507|Wagon|100|01||
3512|Coupe|80|01||
3517|Sedan|80|01||
3694||85||12|
3704||95||12|
3834|FWD|100|||
3931|RWD Fleetwood|100|01||
3990|RWD|100|||
4045||75-100|||
4252|RWD|100|01||
4257|4WD|100|||
4346||100||12|
4570|W/ Steel Wheels|51-58|15||
4575|W/ Aluminum Wheels|58-73|15||
5025|FWD, Alloy Wheels|51-58||15|
5026|RWD, Aluminum Wheels|58-73|15||
5027|RWD, Steel Wheels|51-58|15||
5052|W/ Aluminum Wheels|58-73||15|
5053|W/ Steel Wheels|51-58||15|
5065||90-120|||
5503||105|||029
5545|Dual Rear Wheels|110-140|||
5552|Single Rear Wheels|90-120|||
5570||85-115|||028
5592||95|||
5638||65-87|||
5684||63|||
5713||65-80|||
5905||87-100|||
6028|W/ AL Wheels|65-80|||
6032|W/ Steel Wheels|50-57|||
6097|RWD|100|44||
6098||50-63|||
6185||51|||
6222||NS|||
6294||64|||
6328||100|30||
6359|RWD|100|30||
6443||85-105|24||
6490||65-87||23|
6520||90|||
6689||73-85|||
6714|RWD|85-115|30||
6719|4WD|85-115|||
6784||85-105|||
7084||58-65|41||
7223||105|22||029
7302|4WD, SRW|115-175|||
7306|4WD, DRW|175-260|||
7311|RWD HD|115-175|25||
7317|RWD LD|65-115|25||
7437||85-115|22||029
7639||100|44||
7736||65-115|44||
7802||85-115|44||
7890||140|44||
8449|RWD LD|85-115|25||
9091||115-175|44||
9193|RWD|140|44||
9199|4WD, SRW|140|||
9437|DRW 8 Lug|140|01||
9444|DRW 10 Lug|175|01||
9836|W/ Aluminum Wheels|65-80|16||
9843|W/ Steel Wheels|50-57|16||
9904|RWD|85|22||
9911|4WD|85|||
10047|RWD|85-115|22||
10613||81||04|
10662||81|||
10679|Single Rear Wheels|140|01||
11176|RWD|115-175|44||
11179||88.5|||
11214||89|||
11542||81-96|||
11560|Dual Rear Wheels|175-260|||
11571|Light Duty W/ 2WD|140|44||
11696||59-65|||
11826||66-81|||
12051||65-79|||
12255|Wagon|90|01||
12260|Coupe|75|01||
12265|Sedan|75|01||
12889|Wagon|100|||
12892|LD Brakes|100|||
12896|HD Brakes|100|||
12932|RWD|87-101|16||
12935|4WD|87-101|||
12956|Cone Nut 1/2 Stud|85-115|||
12959|Flange Nut 9/16 Stud|130-160|||
12963|Cone Nut 9/16 Stud|120-150|||
13070|RWD|135|21||
