ApplicationID|RecNo|BaseVehicleID|RegionID|VehicleToEngineConfigID
1|25749|1|1|42925
1395|25749|1|1|42926
3004|25749|1|1|42927
1395|25749|1|2|301676
1|25749|1|2|301677
3004|25749|1|2|301678
1|25749|2|1|42928
1395|25749|2|1|42929
3004|25749|2|1|42930
3004|25749|2|2|301679
1395|25749|2|2|301680
1|25749|2|2|301681
3506|25749|3|1|9057
4154|25749|3|1|9058
4515|25749|3|1|9059
3506|25749|3|2|172309
4154|25749|3|2|172310
4515|25749|3|2|172311
3506|25749|4|1|9060
4154|25749|4|1|9061
4515|25749|4|1|9062
3506|25749|4|2|172312
4154|25749|4|2|172313
4515|25749|4|2|172314
3506|25749|5|1|9063
4154|25749|5|1|9064
4515|25749|5|1|9065
3506|25749|5|2|172315
4154|25749|5|2|172316
4515|25749|5|2|172317
3506|25749|6|1|9066
4154|25749|6|1|9067
4515|25749|6|1|9068
3506|25749|6|2|301691
4154|25749|6|2|301692
3519|25749|7|1|9069
3525|25749|7|1|9070
4155|25749|7|1|9071
4157|25749|7|1|9072
4516|25749|7|1|9073
4517|25749|7|1|9074
3519|25749|7|2|301693
3525|25749|7|2|301694
4155|25749|7|2|301695
4157|25749|7|2|301696
3519|32738|8|1|9075
3525|32738|8|1|9076
4155|32738|8|1|9077
4157|32738|8|1|9078
4516|32738|8|1|9079
4517|32738|8|1|9080
4155|32738|8|2|301697
4157|32738|8|2|301698
3519|32738|8|2|301699
3525|32738|8|2|301700
3525|32738|9|1|9081
4157|32738|9|1|9082
4515|32738|9|1|9083
4155|32738|9|2|198778
3519|32738|9|2|198779
3506|32738|10|1|9085
4154|32738|10|1|9087
4515|32738|10|1|9089
3506|32738|10|2|301701
4154|32738|10|2|301702
4829|29755|11|1|9090
5022|29755|11|1|9091
5163|29755|11|1|9092
143|29755|11|1|9093
4829|29755|11|2|301706
5163|29755|11|2|301707
259|29755|12|1|9094
409|29755|12|1|9095
5163|29755|12|1|9096
143|29755|12|1|9097
594|29755|12|1|9098
594|29755|12|2|301708
5163|29755|12|2|301709
259|29755|12|2|301710
259|32741|13|1|9099
409|32741|13|1|9100
881|32741|13|1|9101
5163|32741|13|1|9102
143|32741|13|1|9103
1200|32741|13|1|9104
594|32741|13|1|9105
1267|33463|13|1|9106
1292|33463|13|1|9107
1322|33463|13|1|9108
1351|33463|13|1|9109
5163|32741|13|2|301711
1267|33463|13|2|301712
594|32741|13|2|301713
1322|33463|13|2|301714
259|32741|13|2|301715
259|32741|14|1|9110
5163|32741|14|1|9111
594|32741|14|1|9112
5163|32741|14|2|301716
259|32741|14|2|301717
594|32741|14|2|301718
1446|32741|15|1|43036
1446|32741|15|2|301719
2158|23779|16|1|9113
2291|23779|16|1|9114
113886|23779|16|1|9115
